  4 Non Blondes -  Whats Up?
  Bee Gees -  Too Much Heaven
  Bee Gees -  You Win Again
  Bee Gees -  You Win Again
  Bee Gees -  You Win Again
  Belinda Carlisle -  Circle In The Sand
  Belinda Carlisle -  Heaven Is A Place On Earth
  Belinda Carlisle -  Heaven Is A Place On Earth
  Belinda Carlisle -  La Luna
  Ben E. King -  Stand By Me
  Ben E. King -  Stand By Me
  Ben Fox -  Lighthouses
  Berlin -  Take My Breath Away
  Bet Bet -  Agrā Rītā
  Bet Bet -  Agrā Rītā
  Bet Bet -  Kāpēc Man Nav Sarkans Mercedes
  Bet Bet -  Kāpēc Man Nav Sarkans Mercedes
  Bet Bet -  Mēmā Dziesma (Tava Balss)
  Bet Bet -  Mēmā Dziesma (Tava Balss)
  Bet Bet -  Mēmā Dziesma (Tava Balss)
  Bet Bet -  Nepārmet Man
  Bet Bet -  Nepārmet Man
  Bet Bet -  Pieklauvē
  Bet Bet -  Sāksim Visu No Jauna
  Bet Bet -  Sāksim Visu No Jauna
  Bet Bet -  Sāksim Visu No Jauna
  Bet Bet -  Vakara Vējā
  Bet Bet -  Vakara Vējā
  Billy Idol -  Cradle Of Love
  Billy Idol -  Cradle Of Love
  Billy Idol -  Mony Mony
  Billy Idol -  Mony Mony
  Billy Idol -  Mony Mony
  Billy Joel -  The River Of Dreams
  Bimbo Jet -  El Bimbo
  Bimbo Jet -  El Bimbo
  Bimbo Jet -  El Bimbo
  Black -  Wonderful Life
  Black -  Wonderful Life
  Black -  Wonderful Life
  Blue Lagoon -  Break My Stride
  Blue Lagoon -  Break My Stride
  Blue Lagoon -  Break My Stride
  Blue Lagoon -  Break My Stride
  Blue System -  My Bed Is Too Big
  Blue System -  My Bed Is Too Big
  Blue System -  My Bed Is Too Big
  Blue System -  My Bed Is Too Big
  Blue System -  Sorry Little Sarah (Maxi Version)
  Blue System -  Sorry Little Sarah (Maxi Version)
  Blue System -  Sorry Little Sarah (Maxi Version)
  Bon Jovi -  Always
  Bon Jovi -  Always
  Bon Jovi -  Bed Of Roses
  Bon Jovi -  Bed Of Roses
  Bon Jovi -  Its My Life
  Bon Jovi -  Livin On A Prayer
  Bon Jovi -  Livin On A Prayer
  Bon Jovi -  Make A Memory (You Want To)
  Bon Jovi -  Make A Memory (You Want To)
  Bon Jovi -  Make A Memory (You Want To)
  Bon Jovi -  Make A Memory (You Want To)
  Bon Jovi -  Make A Memory (You Want To)
  Bon Jovi -  You Give Love A Bad Name
  Bon Jovi -  You Give Love A Bad Name
  Bon Jovi -  You Give Love A Bad Name
  Boney M. -  Brown Girl In The Ring
  Boney M. -  Brown Girl In The Ring
  Boney M. -  Daddy Cool
  Boney M. -  No Woman No Cry
  Boney M. -  No Woman No Cry
  Boney M. -  Sunny
  Bonnie Tyler -  Bitterblue
  Bonnie Tyler -  Its A Heartache
  Bonnie Tyler -  Its A Heartache
  Bonnie Tyler -  Its A Heartache
  Bonnie Tyler -  Sally Comes Around
  Bonnie Tyler -  Total Eclipse Of The Heart
  Bosson -  One In A Million
  Bosson -  One In A Million
  Bosson -  One In A Million
  Bosson -  One In A Million
  Boys Town Gang -  Cant Take My Eyes Off You
  Boys Town Gang -  Cant Take My Eyes Off You
  Boyzone -  No Matter What
  Boyzone -  No Matter What
  Boyzone -  Words
  Boyzone -  Words
  BrainStorm -  7 soļi svaiga gaisa
  BrainStorm -  7 soļi svaiga gaisa
  BrainStorm Feat. Musiqq -  Небо упало в нас
  Brainstorm -  Maybe
  Brainstorm -  My Star
  Brainstorm -  My Star
  Brainstorm -  Waterfall
  Brainstorm -  Weekends Are Not My Happy Days
  Brainstorm -  Welcome To My Country
  Brainstorm -  Welcome To My Country
  Brainstorm -  Чайки На Крышах
  Britney Spears -  Born To Make You Happy
  Britney Spears -  Born To Make You Happy
  Britney Spears -  Born To Make You Happy
  Britney Spears -  Born To Make You Happy
  Bruce Springsteen -  Streets Of Philadelphia
  Bruce Springsteen -  Streets Of Philadelphia
  Bruce Springsteen -  Streets Of Philadelphia
  Bruce Springsteen -  Streets Of Philadelphia
  Bruce Springsteen -  Streets Of Philadelphia
  Bruce Springsteen -  Streets Of Philadelphia
  Bruno Mars -  Count On Me
  Bruno Mars -  Locked Out Of Heaven
  Bruno Mars -  Locked Out Of Heaven
  Bruno Mars -  Locked Out Of Heaven
  Bruno Mars -  Locked Out Of Heaven
  Bruno Mars -  Locked Out Of Heaven
  Bruno Mars -  Locked Out Of Heaven
  Bruno Mars -  The Lazy Song
  Bruno Mars -  The Lazy Song
  Bruno Mars -  The Lazy Song
  Bruno Mars -  The Lazy Song
  Bryan Adams -  Cloud Number Nine (Chicane Mix)
  Bryan Adams -  Cloud Number Nine (Chicane Mix)
  Bryan Adams -  Cloud Number Nine (Chicane Mix)
  Bryan Adams -  Cloud Number Nine (Chicane Mix)
  Bryan Adams -  Cloud Number Nine (Chicane Mix)
  Bryan Adams -  Cloud Number Nine (Chicane Mix)
  Bryan Adams -  Have You Ever Really Loved A Woman?
  Bryan Adams -  Have You Ever Really Loved A Woman?
  Bryan Adams -  Heaven
  Bryan Adams -  Heaven
  Bryan Adams -  Here I Am (Spirit Stallion Of The Cimarron/Soundtrack Version/End Title)
  Bryan Adams -  Here I Am (Spirit Stallion Of The Cimarron/Soundtrack Version/End Title)
  Bryan Adams -  I Do It For You (Everything I Do)
  Bryan Adams -  I Do It For You (Everything I Do)
  Bryan Adams -  Please Forgive Me
  Bryan Adams -  Please Forgive Me
  Bryan Adams -  Summer Of 69
  Bryan Adams -  The Best Of Me
  Bryan Adams -  The Best Of Me
  Bryan Adams -  The Best Of Me
  Bryan Ferry -  Slave To Love
  Brødrene Olsen -  Smuk Som Et Stjerneskud
  Bāze 7 & Ölga -  Tu Jau Zini
  Bāze 7 & Ölga -  Tu Jau Zini
  C.C. Catch -  Jump In My Car (Maxi-Version)
  C.C. Catch -  Jump In My Car (Maxi-Version)
  Camila Cabello Feat. Young Thug -  Havana
  Camila Cabello Feat. Young Thug -  Havana
  Camouflage -  Love Is A Shield
  Camouflage -  Love Is A Shield
  Camouflage -  Love Is A Shield
  Camouflage -  Love Is A Shield
  Camouflage -  Love Is A Shield
  Camouflage -  The Great Commandment
  Camouflage -  The Great Commandment
  Candy Dulfer -  Lily Was Here
  Candy Dulfer -  Lily Was Here
  Candy Dulfer -  Lily Was Here
  Captain Jack -  Iko Iko (Radio/Video Mix)
  Captain Qubz -  Open Fields (Instrumental Version)
  Carnaval Youth -  Vasara bez internetiem
  Carnaval Youth -  Vasara bez internetiem
  Carnaval Youth -  Vasara bez internetiem
  Cat Stevens -  Wild World
  Cat Stevens -  Wild World
  Cat Stevens -  Wild World
  Cesaria Evora -  Terezinha
  Charlie Puth -  One Call Away
  Chesney Hawkes -  The One And Only
  Chicago -  Hard To Say Im Sorry/Get Away
  Chris De Burgh -  The Lady In Red
  Chris De Burgh -  The Lady In Red
  Chris Isaak -  Blue Hotel
  Chris Norman & Suzi Quatro -  Stumblin In
  Chris Norman & Suzi Quatro -  Stumblin In
  Chris Norman -  Broken Heroes
  Chris Norman -  Midnight Lady
  Chris Norman -  Midnight Lady
  Chris Norman -  Some Hearts Are Diamonds
  Chris Norman -  Some Hearts Are Diamonds
  Chris Rea -  And You My Love
  Chris Rea -  And You My Love
  Chris Rea -  And You My Love
  Chris Rea -  Looking For The Summer
  Chris Rea -  Looking For The Summer
  Chris Rea -  Looking For The Summer
  Chris Rea -  Looking For The Summer
  Chris Rea -  Looking For The Summer
  Chris Rea -  On The Beach
  Chris Rea -  On The Beach
  Chris Rea -  On The Beach
  Chris Rea -  On The Beach
  Chris Rea -  On The Beach
  Chris Rea -  The Blue Cafe
  Chris Rea -  The Blue Cafe
  Chris Rea -  The Blue Cafe
  Chris Rea -  The Road To Hell Part 2
  Chris Rea -  The Road To Hell Part 2
  Chris Rea -  The Road To Hell Part 2
  Christina Aguilera -  Beautiful
  Christina Aguilera -  Beautiful
  Christina Perri -  A Thousand Years
  Chumbawamba -  Tubthumping
  Chumbawamba -  Tubthumping
  Chumbawamba -  Tubthumping
  Chumbawamba -  Tubthumping
  Chumbawamba -  Tubthumping
  Climie Fisher -  Love Changes (Everything)
  Climie Fisher -  Love Changes (Everything)
  Coldplay -  Paradise
  Coldplay -  Paradise
  Coldplay -  Paradise
  Coldplay -  Viva La Vida
  Counting Crows & Vanessa Carlton -  Big Yellow Taxi
  Craig David -  Walking Away
  Craig David -  Walking Away
  Craig David Feat. Sting -  Rise & Fall
  Craig David Feat. Sting -  Rise & Fall
  Crash Test Dummies -  Mmm Mmm Mmm Mmm
  Crash Test Dummies -  Mmm Mmm Mmm Mmm
  Crash Test Dummies -  Mmm Mmm Mmm Mmm
  Crash Test Dummies -  Mmm Mmm Mmm Mmm
  Crash Test Dummies -  Mmm Mmm Mmm Mmm
  Credo -  Disnejlenda
  Credo -  Disnejlenda
  Credo -  Kad Nekas Nav Palicis Tevī
  Credo -  Kad Nekas Nav Palicis Tevī
  Credo -  Lido
  Credo -  Lido
  Credo -  Lietus
  Credo -  Lietus
  Creedence Clearwater Revival -  Have You Ever Seen The Rain?
  Creedence Clearwater Revival -  Have You Ever Seen The Rain?
  Crowded House -  Dont Dream Its Over
  Crowded House -  Dont Dream Its Over
  Culture Club -  Do You Really Want To Hurt Me
  Culture Club -  Do You Really Want To Hurt Me
  Culture Club -  Karma Chameleon
  Cyndi Lauper -  Time After Time
  Céline Dion -  A New Day Has Come (Radio Remix)
  Céline Dion -  All By Myself
  Céline Dion -  All By Myself
  Céline Dion -  Im Alive
  Céline Dion -  My Heart Will Go On (Love Theme From Titanic)
  Céline Dion -  My Heart Will Go On (Love Theme From Titanic)
  DJ Bobo -  Everybody
  DJ Bobo -  Everybody
  DJ Bobo -  Everybody
  DJ Bobo -  Everybody
  DNA Feat. Suzanne Vega -  Toms Diner
  DNA Feat. Suzanne Vega -  Toms Diner
  Dakota -  Dzeltenie Aizkari
  Dakota -  Dzeltenie Aizkari
  Daniel Powter -  Bad Day
  Daniel Powter -  Bad Day
  Daniel Powter -  Bad Day
  Daniel Powter -  Bad Day
  Danny Saucedo -  If Only You
  Danny Saucedo -  If Only You
  Danny Saucedo -  If Only You
  Dario G -  Sunchyme
  Deep Blue Something -  Breakfast At Tiffanys
  Deep Blue Something -  Breakfast At Tiffanys
  Deep Blue Something -  Breakfast At Tiffanys
  Deep Blue Something -  Breakfast At Tiffanys
  Def Leppard -  Hysteria
  Def Leppard -  Hysteria
  Demis Roussos -  Forever And Ever
  Demis Roussos -  Forever And Ever
  Demis Roussos -  Forever And Ever
  Demis Roussos -  Forever And Ever
  Demis Roussos -  Forever And Ever
  Den Lee Wove -  The Happy Monk
  Depeche Mode -  Enjoy The Silence
  Depeche Mode -  Enjoy The Silence
  Depeche Mode -  Enjoy The Silence
  Depeche Mode -  Enjoy The Silence
  Depeche Mode -  Freelove (Flood Mix)
  Depeche Mode -  People Are People
  Depeche Mode -  Policy Of Truth
  Depeche Mode -  Policy Of Truth
  Depeche Mode -  Policy Of Truth
  Depeche Mode -  Policy Of Truth
  Depeche Mode -  Strangelove
  Desree -  You Gotta Be
  Desree -  You Gotta Be
