  4 Non Blondes -  Whats Up?
  Lost Frequencies -  Are You With Me
  Lost Frequencies Feat. Janieck Devy -  Reality
  Lutricia McNeal -  Someone Loves You Honey
  Lutricia McNeal -  Stranded
  Līvi -  Dieva Dēls
  Līvi -  Dzimtā Valodā
  Līvi -  Kāpēc Nr.1
  Līvi -  Mana Vienīgā Ziņģe
  Līvi -  Ozolam
  Līvi -  Piedod Man
  Līvi -  Saldus Saule
  Līvi -  Tikai Tev Un Man (Raudāja Vējš)
  Līvi -  Ziņģe Par Bailēm
  Līvi -  Zīlīte
  M People -  Dont Look Any Further
  MC Hammer -  U Cant Touch This
  MIKA -  Grace Kelly
  MIKA -  Love Today
  Madness -  Our House
  Madonna -  La Isla Bonita
  Madonna -  Like A Prayer
  Madonna -  Like a Prayer (12 Dance Mix)
  Madonna -  Like a Prayer (7 Version)
  Madonna -  Take A Bow
  Madonna -  Youll See
  Maggie Reilly -  Every Single Heartbeat
  Maggie Reilly -  Everytime We Touch
  Manfred Mann -  Do Wah Diddy Diddy
  Marc Anthony -  You Sang To Me
  Margarita Vilcāne -  Balta Saule
  Maroon 5 -  Girls Like You
  Maroon 5 -  Memories
  Maroon 5 -  Sugar
  Maxi Priest -  Wild World
  Meat Loaf -  Id Do Anything For Love (But I Wont Do That)
  Meghan Trainor -  All About That Bass
  Meghan Trainor Feat. John Legend -  Like Im Gonna Lose You
  Meja -  All Bout The Money
  Melanie C -  I Turn To You (Stonebridge R&b Radio Mix)
  Men At Work -  Down Under
  Menuets -  Alvas Zaldātiņi
  Menuets -  Dzeguzes Balss
  Menuets -  Viņi Dejoja Vienu Vasaru
  Mesa Feat. Renārs Kaupers & Arstarulsmirus -  Vēl Augstāk
  Metallica -  Nothing Else Matters
  Michael Bolton -  Said I Loved You...But I Lied
  Michael Bolton -  When A Man Loves A Woman
  Michael Bublé -  Home
  Michael Bublé -  Save The Last Dance For Me
  Michael Jackson & Paul McCartney -  The Girl Is Mine
  Michael Jackson -  Billie Jean
  Michael Jackson -  Black Or White
  Michael Jackson -  Heal The World
  Michael Jackson -  Smooth Criminal
  Michael Jackson -  Will You Be There
  Michael Jackson -  You Are Not Alone
  Michael Learns To Rock -  The War Is Not Over
  Michel Teló -  Ai Se Eu Te Pego
  Middle Of The Road -  Chirpy Chirpy Cheep Cheep
  Midge Ure -  Breathe
  Midge Ure -  If I Was
  Midnight Oil -  Beds Are Burning
  Mike + The Mechanics -  Another Cup Of Coffee
  Mike + The Mechanics -  Over My Shoulder
  Mike Oldfield -  Moonlight Shadow
  Mike Oldfield -  To France
  Mike Posner -  I Took A Pill In Ibiza (Seeb Remix)
  Milli Vanilli -  Girl Im Gonna Miss You
  Moby -  Lift Me Up
  Modern Talking -  Angies Heart
  Modern Talking -  Atlantis Is Calling (S.O.S. For Love)
  Modern Talking -  Cheri Cheri Lady
  Modern Talking -  China In Her Eyes (Vocal Version)
  Modern Talking -  Diamonds Never Made A Lady
  Modern Talking -  Do You Wanna
  Modern Talking -  Geronimos Cadillac
  Modern Talking -  Jet Airliner
  Modern Talking -  Just We Two (Mona Lisa)
  Modern Talking -  One In A Million
  Modern Talking -  Tv Makes The Superstar
  Modern Talking -  With A Little Love
  Modjo -  Lady (Hear Me Tonight)
  Mono -  Life In Mono
  Mr. Big -  To Be With You
  Mungo Jerry -  In The Summertime
  Murray Head -  One Night In Bangkok
  Muse -  Undisclosed Desires
  Musiqq & Prata Vetra -  Debesis Iekrita Tevī
  Musiqq -  Angel In Disguise
  Musiqq -  Atbalss (Seriāla Svešā Seja Skaņu Celiņš)
  Musiqq -  Dari Kā Es
  Musiqq -  Manā Pilsētā Līst
  Musiqq -  Sekundes
  Natalie Imbruglia -  Torn
  Natasha Bedingfield -  Unwritten
  Nazareth -  Love Hurts
  Nelly Furtado -  Im Like A Bird
  Nelly Furtado -  Say It Right (Main)
  Nena -  99 Luftballons
  New Kids On The Block -  Tonight
  New Radicals -  You Get What You Give
  Nick Cave & The Bad Seeds & Kylie Minogue -  Where The Wild Roses Grow
  Nick Kamen -  I Promised Myself
  Nickelback -  When We Stand Together
  Nik Kershaw -  The Riddle
  Nik Kershaw -  Wouldnt It Be Good
  No Angels -  There Must Be An Angel (Big Band)
  No Doubt -  Dont Speak
  No Mercy -  Please Dont Go
  No Mercy -  When I Die
  No Mercy -  Where Do You Go
  Nora Bumbiere -  Mēma Dziesma
  Nora Bumbiere -  Viss Nāk Un Aiziet Tālumā
  Norah Jones -  Come Away With Me
  O-Zone -  Dragostea Din Tei (Original Romanian Version)
  Ojārs Grīnbergs -  Mežrozīte
  Olga Rajecka & Turaidas Roze -  Apvij Rokas/Entwine Your Hands
  Olga Rajecka -  Ar Baltu Krītu Uzrakstīts
  Olga Rajecka -  Kad Man Vairs Nebūs 16 (Wont Have 16 Anymore)
  Olsen Brothers -  Fly On The Wings Of Love
  One Direction -  Story Of My Life
  OneRepublic -  Counting Stars
  Opus -  Live Is Life
  Opus Pro -  Šonakt
  Orchestral Manoeuvres In The Dark -  Walking On The Milky Way
  Otra Puse -  Ave Pali
  Otra Puse -  Ieskaties
  Otra Puse -  Kad Paliek Auksts
  Otra Puse -  Pēc Lietus (Roberts Lejasmeijers Remix)
  Otra Puse -  Savādā
  Otra Puse -  Uzzime Mani
  Otra Puse -  Vēstules
  Ottawan -  D.I.S.C.O.
  Outlandish -  Aicha
  Owl City -  Fireflies
  Ozzy Osbourne -  Dreamer
  P!nk -  Just Like A Pill
  P!nk -  Just Like Fire (From The Original Motion Picture Alice Through The Looking Glass)
  P!nk -  Try
  Passenger -  Let Her Go
  Patty Ryan -  Youre My Love (My Life)
  Paul McCartney & Wings -  Mrs Vandebilt
  Paul McCartney -  Ebony And Ivory
  Paul Young -  Everytime You Go Away
  Paula Abdul -  Rush Rush
  Paula Abdul -  Straight Up
  Pet Shop Boys -  Always On My Mind
